sweep,downstream,selection_metric,selection_epoch,selected_final_downstream,oracle,first_epoch_in_band
simclr-tau,linear_probe,rankme,124,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,125,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,126,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,127,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,128,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,130,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,131,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,133,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,135,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,136,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,137,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,138,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,139,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,140,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,143,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,145,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,147,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,148,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,149,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,150,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,151,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,154,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,156,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,159,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,160,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,161,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,162,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,164,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,165,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,167,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,172,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,173,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,175,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,176,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,177,0.7527999877929688,0.8435999751091003,
