sweep,epoch,selection_metric,n_runs,pearson_linear_probe,spearman_linear_probe,pearson_knn_probe,spearman_knn_probe,pearson_cifar10c,spearman_cifar10c
simclr-tau,39,rerankme,7,0.7575,0.3929,0.7401,0.4286,0.5693,0.5714
simclr-tau,40,rankme,7,-0.9348,-1.0,-0.9525,-0.9643,-0.9133,-0.8929
simclr-tau,40,rerankme,7,0.7288,0.3929,0.7065,0.4286,0.5263,0.5714
simclr-tau,41,rankme,7,-0.9369,-1.0,-0.9552,-0.9643,-0.9113,-0.8929
simclr-tau,41,rerankme,7,0.763,0.3929,0.7429,0.4286,0.5693,0.5714
simclr-tau,42,rankme,7,-0.9339,-1.0,-0.9517,-0.9643,-0.9138,-0.8929
simclr-tau,42,rerankme,7,0.7652,0.3929,0.7464,0.4286,0.578,0.5714
simclr-tau,43,rankme,7,-0.9296,-1.0,-0.9491,-0.9643,-0.906,-0.8929
simclr-tau,43,rerankme,7,0.7761,0.3929,0.7575,0.4286,0.5964,0.5714
simclr-tau,44,rankme,7,-0.9278,-1.0,-0.9471,-0.9643,-0.9088,-0.8929
simclr-tau,44,rerankme,7,0.7615,0.3929,0.7424,0.4286,0.5589,0.5714
simclr-tau,45,rankme,7,-0.9363,-1.0,-0.9543,-0.9643,-0.9149,-0.8929
simclr-tau,45,rerankme,7,0.7859,0.3929,0.7687,0.4286,0.6043,0.5714
simclr-tau,46,rankme,7,-0.9276,-1.0,-0.9466,-0.9643,-0.9119,-0.8929
simclr-tau,46,rerankme,7,0.772,0.3929,0.7557,0.4286,0.5797,0.5714
simclr-tau,47,rankme,7,-0.9279,-1.0,-0.9494,-0.9643,-0.9075,-0.8929
simclr-tau,47,rerankme,7,0.7614,0.3929,0.7433,0.4286,0.5686,0.5714
simclr-tau,49,rankme,7,-0.9273,-1.0,-0.9449,-0.9643,-0.9131,-0.8929
simclr-tau,49,rerankme,7,0.764,0.3929,0.7444,0.4286,0.5822,0.5714
simclr-tau,51,rankme,7,-0.9326,-1.0,-0.9517,-0.9643,-0.9111,-0.8929
simclr-tau,51,rerankme,7,0.7726,0.3929,0.7514,0.4286,0.5931,0.5714
simclr-tau,54,rankme,7,-0.9258,-1.0,-0.9463,-0.9643,-0.9077,-0.8929
simclr-tau,54,rerankme,7,0.7765,0.3929,0.7585,0.4286,0.5897,0.5714
simclr-tau,56,rankme,7,-0.9361,-1.0,-0.9537,-0.9643,-0.9208,-0.8929
simclr-tau,56,rerankme,7,0.7869,0.3929,0.7661,0.4286,0.6084,0.5714
simclr-tau,57,rankme,7,-0.9223,-1.0,-0.9424,-0.9643,-0.9046,-0.8929
simclr-tau,57,rerankme,7,0.7873,0.3929,0.7699,0.4286,0.6005,0.5714
simclr-tau,60,rankme,7,-0.9213,-1.0,-0.9398,-0.9643,-0.915,-0.8929
simclr-tau,60,rerankme,7,0.779,0.3929,0.758,0.4286,0.5928,0.5714
simclr-tau,61,rankme,7,-0.9275,-1.0,-0.946,-0.9643,-0.9112,-0.8929
simclr-tau,61,rerankme,7,0.788,0.3929,0.772,0.4286,0.6012,0.5714
simclr-tau,62,rankme,7,-0.9214,-1.0,-0.9429,-0.9643,-0.9032,-0.8929
simclr-tau,62,rerankme,7,0.7708,0.3929,0.7528,0.4286,0.5922,0.5714
simclr-tau,68,rankme,7,-0.9145,-1.0,-0.9382,-0.9643,-0.8994,-0.8929
simclr-tau,68,rerankme,7,0.7699,0.3929,0.7527,0.4286,0.5888,0.5714
simclr-tau,69,rankme,7,-0.9206,-1.0,-0.9424,-0.9643,-0.9078,-0.8929
simclr-tau,69,rerankme,7,0.7789,0.3929,0.7602,0.4286,0.5958,0.5714
simclr-tau,71,rankme,7,-0.9198,-1.0,-0.9397,-0.9643,-0.9101,-0.8929
simclr-tau,71,rerankme,7,0.7906,0.3929,0.776,0.4286,0.6106,0.5714
simclr-tau,73,rankme,7,-0.911,-1.0,-0.9328,-0.9643,-0.9006,-0.8929
simclr-tau,73,rerankme,7,0.764,0.3929,0.7503,0.4286,0.5847,0.5714
simclr-tau,74,rankme,7,-0.916,-1.0,-0.9355,-0.9643,-0.9064,-0.8929
simclr-tau,74,rerankme,7,0.7879,0.3929,0.7733,0.4286,0.6113,0.5714
simclr-tau,76,rankme,7,-0.9167,-1.0,-0.9371,-0.9643,-0.9028,-0.8929
simclr-tau,76,rerankme,7,0.7983,0.3929,0.7827,0.4286,0.6096,0.5714
simclr-tau,78,rankme,7,-0.9174,-1.0,-0.9384,-0.9643,-0.9096,-0.8929
simclr-tau,78,rerankme,7,0.7915,0.3929,0.7746,0.4286,0.6158,0.5714
simclr-tau,79,rankme,7,-0.9176,-1.0,-0.9366,-0.9643,-0.9073,-0.8929
simclr-tau,79,rerankme,7,0.7825,0.3929,0.7676,0.4286,0.6107,0.5714
simclr-tau,82,rankme,7,-0.9196,-1.0,-0.9401,-0.9643,-0.9066,-0.8929
simclr-tau,82,rerankme,7,0.7815,0.3929,0.7654,0.4286,0.5971,0.5714
simclr-tau,83,rankme,7,-0.911,-1.0,-0.9331,-0.9643,-0.8999,-0.8929
simclr-tau,83,rerankme,7,0.7875,0.3929,0.7728,0.4286,0.6051,0.5714
simclr-tau,84,rankme,7,-0.9189,-1.0,-0.9392,-0.9643,-0.9063,-0.8929
simclr-tau,84,rerankme,7,0.8047,0.3929,0.7901,0.4286,0.6253,0.5714
simclr-tau,85,rankme,7,-0.912,-1.0,-0.9335,-0.9643,-0.9035,-0.8929
simclr-tau,85,rerankme,7,0.7932,0.3929,0.7796,0.4286,0.6117,0.5714
simclr-tau,87,rankme,7,-0.9237,-1.0,-0.944,-0.9643,-0.9046,-0.8929
simclr-tau,87,rerankme,7,0.7907,0.3929,0.775,0.4286,0.6197,0.5714
simclr-tau,88,rankme,7,-0.9118,-1.0,-0.9326,-0.9643,-0.9,-0.8929
simclr-tau,88,rerankme,7,0.7735,0.3929,0.7587,0.4286,0.5963,0.5714
simclr-tau,89,rankme,7,-0.9102,-1.0,-0.9342,-0.9643,-0.8956,-0.8929
simclr-tau,89,rerankme,7,0.7894,0.3929,0.7732,0.4286,0.6145,0.5714
simclr-tau,90,rankme,7,-0.9169,-1.0,-0.9384,-0.9643,-0.8976,-0.8929
simclr-tau,90,rerankme,7,0.8147,0.3929,0.7985,0.4286,0.6401,0.5714
simclr-tau,91,rankme,7,-0.911,-1.0,-0.9335,-0.9643,-0.9004,-0.8929
simclr-tau,91,rerankme,7,0.7893,0.3929,0.7728,0.4286,0.6106,0.5714
