sweep,epoch,selection_metric,n_runs,pearson_linear_probe,spearman_linear_probe,pearson_knn_probe,spearman_knn_probe,pearson_cifar10c,spearman_cifar10c
simclr-tau,210,rerankme,7,0.7788,0.3929,0.7649,0.4286,0.6165,0.5714
simclr-tau,211,rankme,7,-0.8401,-1.0,-0.8674,-0.9643,-0.8357,-0.8929
simclr-tau,211,rerankme,7,0.7678,0.3929,0.7527,0.4286,0.6027,0.5714
simclr-tau,212,rankme,7,-0.8379,-1.0,-0.863,-0.9643,-0.8445,-0.8929
simclr-tau,212,rerankme,7,0.7791,0.3929,0.7652,0.4286,0.6133,0.5714
simclr-tau,215,rankme,7,-0.8444,-1.0,-0.8683,-0.9643,-0.8563,-0.8929
simclr-tau,215,rerankme,7,0.7803,0.3929,0.7685,0.4286,0.61,0.5714
simclr-tau,217,rankme,7,-0.8427,-1.0,-0.8676,-0.9643,-0.8458,-0.8929
simclr-tau,217,rerankme,7,0.7842,0.3929,0.7718,0.4286,0.6196,0.5714
simclr-tau,218,rankme,7,-0.8533,-1.0,-0.8779,-0.9643,-0.8511,-0.8929
simclr-tau,218,rerankme,7,0.7793,0.3929,0.7671,0.4286,0.6154,0.5714
simclr-tau,219,rankme,7,-0.8477,-1.0,-0.8727,-0.9643,-0.849,-0.8929
simclr-tau,219,rerankme,7,0.7655,0.3929,0.753,0.4286,0.5908,0.5714
simclr-tau,221,rankme,7,-0.8398,-1.0,-0.8654,-0.9643,-0.8449,-0.8929
simclr-tau,221,rerankme,7,0.7673,0.3929,0.7511,0.4286,0.5968,0.5714
simclr-tau,223,rankme,7,-0.8428,-1.0,-0.8676,-0.9643,-0.8482,-0.8929
simclr-tau,223,rerankme,7,0.7682,0.3929,0.7538,0.4286,0.5992,0.5714
simclr-tau,224,rankme,7,-0.8489,-1.0,-0.8726,-0.9643,-0.8561,-0.8929
simclr-tau,224,rerankme,7,0.7733,0.3929,0.7579,0.4286,0.6112,0.5714
simclr-tau,226,rankme,7,-0.843,-1.0,-0.8685,-0.9643,-0.8503,-0.8929
simclr-tau,226,rerankme,7,0.7788,0.3929,0.7652,0.4286,0.6111,0.5714
simclr-tau,228,rankme,7,-0.8503,-1.0,-0.8749,-0.9643,-0.8563,-0.8929
simclr-tau,228,rerankme,7,0.7768,0.3929,0.7616,0.4286,0.6176,0.5714
simclr-tau,229,rankme,7,-0.8449,-1.0,-0.8692,-0.9643,-0.8484,-0.8929
simclr-tau,229,rerankme,7,0.7784,0.3929,0.7666,0.4286,0.617,0.5714
simclr-tau,230,rankme,7,-0.8451,-1.0,-0.8681,-0.9643,-0.8478,-0.8929
simclr-tau,230,rerankme,7,0.7857,0.3929,0.7717,0.4286,0.6183,0.5714
simclr-tau,231,rankme,7,-0.8457,-1.0,-0.8704,-0.9643,-0.8513,-0.8929
simclr-tau,231,rerankme,7,0.7822,0.3929,0.7682,0.4286,0.6202,0.5714
simclr-tau,233,rankme,7,-0.8413,-1.0,-0.864,-0.9643,-0.8467,-0.8929
simclr-tau,233,rerankme,7,0.7904,0.3929,0.777,0.4286,0.6278,0.5714
simclr-tau,234,rankme,7,-0.8407,-1.0,-0.8654,-0.9643,-0.842,-0.8929
simclr-tau,234,rerankme,7,0.7829,0.3929,0.7712,0.4286,0.6193,0.5714
simclr-tau,235,rankme,7,-0.8416,-1.0,-0.8657,-0.9643,-0.8521,-0.8929
simclr-tau,235,rerankme,7,0.7675,0.3929,0.7511,0.4286,0.6068,0.5714
simclr-tau,236,rankme,7,-0.841,-1.0,-0.865,-0.9643,-0.8446,-0.8929
simclr-tau,236,rerankme,7,0.7649,0.3929,0.7501,0.4286,0.6019,0.5714
simclr-tau,239,rankme,7,-0.8382,-1.0,-0.8625,-0.9643,-0.8472,-0.8929
simclr-tau,239,rerankme,7,0.7848,0.3929,0.7717,0.4286,0.6215,0.5714
simclr-tau,240,rankme,7,-0.8386,-1.0,-0.8617,-0.9643,-0.8511,-0.8929
simclr-tau,240,rerankme,7,0.7759,0.3929,0.7609,0.4286,0.6114,0.5714
simclr-tau,241,rankme,7,-0.8441,-1.0,-0.8669,-0.9643,-0.8491,-0.8929
simclr-tau,241,rerankme,7,0.7758,0.3929,0.7611,0.4286,0.604,0.5714
simclr-tau,242,rankme,7,-0.845,-1.0,-0.8678,-0.9643,-0.8486,-0.8929
simclr-tau,242,rerankme,7,0.7581,0.3929,0.7446,0.4286,0.5823,0.5714
simclr-tau,244,rankme,7,-0.8383,-1.0,-0.863,-0.9643,-0.8433,-0.8929
simclr-tau,244,rerankme,7,0.7642,0.3929,0.7508,0.4286,0.5986,0.5714
simclr-tau,245,rankme,7,-0.8355,-1.0,-0.8606,-0.9643,-0.8423,-0.8929
simclr-tau,245,rerankme,7,0.7803,0.3929,0.7669,0.4286,0.6179,0.5714
simclr-tau,246,rankme,7,-0.8459,-1.0,-0.8707,-0.9643,-0.8461,-0.8929
simclr-tau,246,rerankme,7,0.7699,0.3929,0.756,0.4286,0.6027,0.5714
simclr-tau,247,rankme,7,-0.8407,-1.0,-0.8651,-0.9643,-0.8464,-0.8929
simclr-tau,247,rerankme,7,0.7677,0.3929,0.7534,0.4286,0.6013,0.5714
simclr-tau,249,rankme,7,-0.8392,-1.0,-0.8642,-0.9643,-0.8436,-0.8929
simclr-tau,249,rerankme,7,0.7711,0.3929,0.7564,0.4286,0.6041,0.5714
simclr-tau,250,rankme,7,-0.8439,-1.0,-0.8675,-0.9643,-0.8539,-0.8929
simclr-tau,250,rerankme,7,0.7794,0.3929,0.7654,0.4286,0.6171,0.5714
simclr-tau,251,rankme,7,-0.8378,-1.0,-0.862,-0.9643,-0.845,-0.8929
simclr-tau,251,rerankme,7,0.7674,0.3929,0.7531,0.4286,0.6027,0.5714
simclr-tau,252,rankme,7,-0.848,-1.0,-0.8722,-0.9643,-0.8503,-0.8929
simclr-tau,252,rerankme,7,0.7805,0.3929,0.7677,0.4286,0.6217,0.5714
simclr-tau,253,rankme,7,-0.8357,-1.0,-0.8603,-0.9643,-0.8459,-0.8929
simclr-tau,253,rerankme,7,0.7751,0.3929,0.7624,0.4286,0.6103,0.5714
simclr-tau,255,rankme,7,-0.8397,-1.0,-0.864,-0.9643,-0.8468,-0.8929
simclr-tau,255,rerankme,7,0.7678,0.3929,0.7544,0.4286,0.6016,0.5714
simclr-tau,260,rankme,7,-0.8412,-1.0,-0.8641,-0.9643,-0.8493,-0.8929
simclr-tau,260,rerankme,7,0.7648,0.3929,0.7515,0.4286,0.6008,0.5714
simclr-tau,261,rankme,7,-0.8313,-1.0,-0.8547,-0.9643,-0.8437,-0.8929
simclr-tau,261,rerankme,7,0.7671,0.3929,0.7518,0.4286,0.599,0.5714
simclr-tau,263,rankme,7,-0.8377,-1.0,-0.862,-0.9643,-0.8454,-0.8929
simclr-tau,263,rerankme,7,0.7635,0.3929,0.7493,0.4286,0.6061,0.5714
simclr-tau,264,rankme,7,-0.8348,-1.0,-0.8579,-0.9643,-0.844,-0.8929
simclr-tau,264,rerankme,7,0.7656,0.3929,0.7511,0.4286,0.5967,0.5714
simclr-tau,265,rankme,7,-0.8356,-1.0,-0.8597,-0.9643,-0.8447,-0.8929
simclr-tau,265,rerankme,7,0.7654,0.3929,0.751,0.4286,0.5983,0.5714
simclr-tau,267,rankme,7,-0.8421,-1.0,-0.8652,-0.9643,-0.85,-0.8929
simclr-tau,267,rerankme,7,0.7805,0.3929,0.7665,0.4286,0.6164,0.5714
simclr-tau,268,rankme,7,-0.8437,-1.0,-0.8674,-0.9643,-0.8527,-0.8929
simclr-tau,268,rerankme,7,0.7687,0.3929,0.7539,0.4286,0.605,0.5714
simclr-tau,269,rankme,7,-0.8426,-1.0,-0.8661,-0.9643,-0.8503,-0.8929
simclr-tau,269,rerankme,7,0.7594,0.3929,0.743,0.4286,0.5875,0.5714
simclr-tau,270,rankme,7,-0.8308,-1.0,-0.8553,-0.9643,-0.841,-0.8929
simclr-tau,270,rerankme,7,0.765,0.3929,0.7515,0.4286,0.5947,0.5714
simclr-tau,271,rankme,7,-0.8394,-1.0,-0.8626,-0.9643,-0.8504,-0.8929
simclr-tau,271,rerankme,7,0.7667,0.3929,0.7518,0.4286,0.6012,0.5714
simclr-tau,274,rankme,7,-0.8344,-1.0,-0.8582,-0.9643,-0.8451,-0.8929
simclr-tau,274,rerankme,7,0.7577,0.3929,0.7428,0.4286,0.5975,0.5714
simclr-tau,275,rankme,7,-0.8378,-1.0,-0.862,-0.9643,-0.8476,-0.8929
simclr-tau,275,rerankme,7,0.7721,0.3929,0.7578,0.4286,0.6038,0.5714
simclr-tau,277,rankme,7,-0.843,-1.0,-0.8666,-0.9643,-0.8491,-0.8929
simclr-tau,277,rerankme,7,0.7607,0.3929,0.7445,0.4286,0.5992,0.5714
simclr-tau,278,rankme,7,-0.8379,-1.0,-0.8622,-0.9643,-0.8441,-0.8929
simclr-tau,278,rerankme,7,0.7801,0.3929,0.7666,0.4286,0.6171,0.5714
simclr-tau,280,rankme,7,-0.8418,-1.0,-0.8659,-0.9643,-0.8481,-0.8929
simclr-tau,280,rerankme,7,0.7735,0.3929,0.7594,0.4286,0.6107,0.5714
simclr-tau,282,rankme,7,-0.8401,-1.0,-0.8649,-0.9643,-0.8465,-0.8929
simclr-tau,282,rerankme,7,0.7772,0.3929,0.7646,0.4286,0.6136,0.5714
simclr-tau,283,rankme,7,-0.8404,-1.0,-0.8649,-0.9643,-0.8474,-0.8929
simclr-tau,283,rerankme,7,0.7814,0.3929,0.7688,0.4286,0.6184,0.5714
simclr-tau,284,rankme,7,-0.8389,-1.0,-0.8627,-0.9643,-0.844,-0.8929
simclr-tau,284,rerankme,7,0.7654,0.3929,0.7525,0.4286,0.5988,0.5714
simclr-tau,286,rankme,7,-0.8418,-1.0,-0.8662,-0.9643,-0.8475,-0.8929
simclr-tau,286,rerankme,7,0.7726,0.3929,0.7573,0.4286,0.614,0.5714
simclr-tau,287,rankme,7,-0.8373,-1.0,-0.8617,-0.9643,-0.8451,-0.8929
simclr-tau,287,rerankme,7,0.769,0.3929,0.7561,0.4286,0.6055,0.5714
simclr-tau,289,rankme,7,-0.8426,-1.0,-0.8656,-0.9643,-0.8468,-0.8929
simclr-tau,289,rerankme,7,0.7762,0.3929,0.7622,0.4286,0.6177,0.5714
simclr-tau,290,rankme,7,-0.8477,-1.0,-0.8711,-0.9643,-0.8533,-0.8929
simclr-tau,290,rerankme,7,0.77,0.3929,0.7563,0.4286,0.606,0.5714
simclr-tau,291,rankme,7,-0.8407,-1.0,-0.8647,-0.9643,-0.8476,-0.8929
simclr-tau,291,rerankme,7,0.7796,0.3929,0.7648,0.4286,0.6183,0.5714
simclr-tau,292,rankme,7,-0.8415,-1.0,-0.8654,-0.9643,-0.8465,-0.8929
simclr-tau,292,rerankme,7,0.7625,0.3929,0.748,0.4286,0.5944,0.5714
simclr-tau,293,rankme,7,-0.8382,-1.0,-0.8624,-0.9643,-0.8475,-0.8929
simclr-tau,293,rerankme,7,0.7672,0.3929,0.751,0.4286,0.6018,0.5714
simclr-tau,294,rankme,7,-0.8419,-1.0,-0.8655,-0.9643,-0.8482,-0.8929
simclr-tau,294,rerankme,7,0.7746,0.3929,0.7601,0.4286,0.6112,0.5714
simclr-tau,296,rankme,7,-0.8406,-1.0,-0.8644,-0.9643,-0.845,-0.8929
simclr-tau,296,rerankme,7,0.7668,0.3929,0.7485,0.4286,0.6029,0.5714
simclr-tau,298,rankme,7,-0.8361,-1.0,-0.8615,-0.9643,-0.8463,-0.8929
simclr-tau,298,rerankme,7,0.7764,0.3929,0.7609,0.4286,0.6161,0.5714
simclr-tau,299,rankme,7,-0.8405,-1.0,-0.8646,-0.9643,-0.8459,-0.8929
simclr-tau,299,rerankme,7,0.7621,0.3929,0.747,0.4286,0.5962,0.5714
