sweep,selection_metric,selection_epoch,selected_run,final_linear_probe,oracle_linear_probe,final_knn_probe,oracle_knn_probe,final_cifar10c,oracle_cifar10c
simclr-tau,rankme,25,simclr-resnet18-tau0.05,0.7527999877929688,0.8435999751091003,0.7002000212669373,0.8073999881744385,0.633390486240387,0.7014252543449402
simclr-tau,rankme,125,simclr-resnet18-tau0.05,0.7527999877929688,0.8435999751091003,0.7002000212669373,0.8073999881744385,0.633390486240387,0.7014252543449402
simclr-tau,rankme,150,simclr-resnet18-tau0.05,0.7527999877929688,0.8435999751091003,0.7002000212669373,0.8073999881744385,0.633390486240387,0.7014252543449402
simclr-tau,rankme,175,simclr-resnet18-tau0.05,0.7527999877929688,0.8435999751091003,0.7002000212669373,0.8073999881744385,0.633390486240387,0.7014252543449402
simclr-tau,rankme,250,simclr-resnet18-tau0.05,0.7527999877929688,0.8435999751091003,0.7002000212669373,0.8073999881744385,0.633390486240387,0.7014252543449402
simclr-tau,rankme,275,simclr-resnet18-tau0.05,0.7527999877929688,0.8435999751091003,0.7002000212669373,0.8073999881744385,0.633390486240387,0.7014252543449402
simclr-tau,rankme,299,simclr-resnet18-tau0.05,0.7527999877929688,0.8435999751091003,0.7002000212669373,0.8073999881744385,0.633390486240387,0.7014252543449402
simclr-tau,rerankme,25,simclr-resnet18-tau0.15,0.8312000036239624,0.8435999751091003,0.7893999814987183,0.8073999881744385,0.6759210228919983,0.7014252543449402
simclr-tau,rerankme,125,simclr-resnet18-tau0.15,0.8312000036239624,0.8435999751091003,0.7893999814987183,0.8073999881744385,0.6759210228919983,0.7014252543449402
simclr-tau,rerankme,150,simclr-resnet18-tau0.15,0.8312000036239624,0.8435999751091003,0.7893999814987183,0.8073999881744385,0.6759210228919983,0.7014252543449402
simclr-tau,rerankme,175,simclr-resnet18-tau0.15,0.8312000036239624,0.8435999751091003,0.7893999814987183,0.8073999881744385,0.6759210228919983,0.7014252543449402
simclr-tau,rerankme,250,simclr-resnet18-tau0.15,0.8312000036239624,0.8435999751091003,0.7893999814987183,0.8073999881744385,0.6759210228919983,0.7014252543449402
simclr-tau,rerankme,275,simclr-resnet18-tau0.15,0.8312000036239624,0.8435999751091003,0.7893999814987183,0.8073999881744385,0.6759210228919983,0.7014252543449402
simclr-tau,rerankme,299,simclr-resnet18-tau0.15,0.8312000036239624,0.8435999751091003,0.7893999814987183,0.8073999881744385,0.6759210228919983,0.7014252543449402
